date,accountCode,description,vendor,invoiceNumber,debit,credit,amount
2026-05-01,601,Achat materiel informatique,TechPro,INV-001,500000,0,500000
2026-05-04,602,Prestation consultant,ConsultPlus,INV-002,1200000,0,1200000
2026-05-05,,Paiement fournisseur inconnu,Unknown Vendor,INV-003,300000,0,300000
2026-05-01,601,Achat materiel informatique,TechPro,INV-001,500000,0,500000
2026-05-09,607,Achat licences annuelles,SoftCloud,INV-004,2500000,0,2500000
2026-05-10,606,Paiement weekend urgent,FastService,INV-005,800000,0,800000
2026-05-12,605,Frais de bureau,OfficePlus,INV-006,85000,0,85000
2026-05-13,604,Correction ecriture negative,Internal Adjustment,INV-007,-150000,0,-150000
2026-05-14,603,Paiement fournisseur rare,NewVendorX,INV-008,1800000,0,1800000
2026-05-15,701,Vente prestation client,ClientA,SALE-001,0,900000,900000
2026-05-18,601,Maintenance serveurs,TechPro,INV-009,123450,0,123450
2026-05-19,602,Audit externe annuel,ConsultPlus,INV-010,450000,0,450000
2026-05-20,605,Fournitures diverses,OfficePlus,INV-011,67800,0,67800
2026-05-21,607,Renouvellement licences,SoftCloud,INV-012,312000,0,312000
2026-05-22,603,Transport logistique,LogiTrans,INV-013,98000,0,98000
2026-05-23,604,Prime exceptionnelle weekend,HR Dept,INV-014,250000,0,250000
2026-05-25,601,Achat ordinateurs portables,TechPro,INV-015,640000,0,640000
2026-05-26,606,Honoraires avocat,LegalCorp,INV-016,1500000,0,1500000
2026-05-27,701,Vente materiel reforme,ClientA,SALE-002,0,540000,540000
2026-05-28,605,Petit equipement,OfficePlus,INV-017,45000,0,45000
2026-05-29,602,Conseil strategique,StrategyOne,INV-018,720000,0,720000
2026-05-30,607,Cloud backup weekend,SoftCloud,INV-019,89000,0,89000
2026-06-01,604,Remboursement trop percu,Internal Adjustment,INV-020,-50000,0,-50000
2026-06-02,603,Achat mobilier bureau,FurniPlus,INV-021,134500,0,134500
2026-06-03,601,Serveur haute performance,TechPro,INV-022,3000000,0,3000000
2026-06-04,701,Vente abonnement annuel,ClientB,SALE-003,0,250000,250000
2026-06-05,605,Frais divers,OfficePlus,INV-023,78900,0,78900
2026-06-08,602,Mission ponctuelle,SoloConsult,INV-024,600000,0,600000
